iter	Passed	Remaining
0	1	1891
1	3	1660
2	4	1548
3	5	1487
4	7	1446
5	8	1432
6	9	1397
7	11	1398
8	12	1411
9	14	1473
10	16	1482
11	18	1491
12	19	1495
13	21	1486
14	22	1483
15	23	1474
16	25	1461
17	26	1450
18	27	1436
19	29	1432
20	30	1432
21	32	1445
22	33	1438
23	35	1426
24	36	1414
25	37	1411
26	39	1426
27	41	1438
28	42	1433
29	44	1431
30	46	1448
31	47	1439
32	49	1436
33	50	1428
34	51	1417
35	52	1413
36	54	1408
37	55	1405
38	56	1399
39	58	1396
40	60	1406
41	61	1406
42	63	1406
43	65	1418
44	66	1419
45	68	1415
46	69	1418
47	71	1412
48	72	1412
49	74	1413
50	75	1412
51	77	1406
52	78	1401
53	79	1395
54	80	1391
55	82	1388
56	83	1383
57	84	1377
58	86	1374
59	87	1373
60	89	1377
61	91	1376
62	92	1374
63	93	1369
64	94	1366
65	96	1362
66	97	1360
67	98	1355
68	100	1355
69	101	1351
70	103	1350
71	104	1350
72	106	1347
73	107	1344
74	108	1340
75	109	1337
76	111	1333
77	112	1330
78	113	1327
79	115	1325
80	116	1323
81	118	1329
82	119	1323
83	121	1321
84	122	1319
85	123	1316
86	125	1313
87	126	1311
88	127	1309
89	129	1309
90	130	1305
91	132	1303
92	133	1301
93	135	1302
94	136	1301
95	137	1299
96	139	1295
97	140	1291
98	141	1288
99	142	1285
100	144	1283
101	145	1279
102	146	1277
103	148	1280
104	150	1281
105	152	1282
106	153	1281
107	155	1282
108	156	1281
109	158	1279
110	159	1277
111	160	1275
112	162	1277
113	164	1274
114	165	1275
115	167	1277
116	168	1274
117	170	1272
118	171	1269
119	172	1267
120	174	1265
121	175	1261
122	176	1261
123	178	1260
124	180	1261
125	181	1261
126	183	1261
127	185	1260
128	187	1265
129	189	1267
130	191	1272
131	194	1278
132	196	1281
133	198	1285
134	201	1289
135	203	1291
136	219	1384
137	223	1393
138	225	1398
139	227	1400
140	229	1400
141	231	1395
142	232	1395
143	235	1399
144	238	1406
145	241	1412
146	243	1413
147	245	1412
148	247	1411
149	249	1411
150	251	1416
151	254	1421
152	257	1425
153	259	1426
154	261	1428
155	264	1429
156	266	1432
157	269	1436
158	272	1441
159	275	1444
160	276	1442
161	278	1442
162	281	1446
163	284	1448
164	285	1446
165	287	1444
166	289	1446
167	292	1446
168	294	1447
169	296	1449
170	298	1449
171	300	1446
172	302	1446
173	304	1444
174	305	1441
175	307	1439
176	310	1441
177	311	1440
178	313	1437
179	314	1434
180	316	1432
181	318	1432
182	320	1430
183	322	1429
184	324	1429
185	326	1428
186	328	1426
187	329	1423
188	332	1426
189	334	1427
190	336	1426
191	338	1425
192	340	1424
193	342	1422
194	343	1419
195	345	1417
196	347	1416
197	348	1413
198	350	1410
199	352	1408
200	354	1407
201	356	1408
202	358	1407
203	360	1406
204	362	1405
205	364	1403
206	365	1400
207	367	1399
208	369	1396
209	370	1395
210	372	1391
211	373	1388
212	375	1387
213	377	1385
214	378	1382
215	380	1380
216	382	1379
217	383	1376
218	385	1373
219	386	1371
220	388	1368
221	389	1365
222	391	1362
223	392	1359
224	394	1357
225	395	1355
226	397	1353
227	399	1352
228	400	1349
229	402	1346
230	404	1344
231	405	1342
232	407	1340
233	408	1337
234	410	1337
235	412	1336
236	414	1333
237	415	1330
238	416	1327
239	419	1326
240	421	1326
241	423	1326
242	425	1326
243	427	1325
244	429	1324
245	431	1321
246	432	1319
247	434	1316
248	435	1314
249	437	1311
250	438	1309
251	440	1307
252	442	1306
253	443	1303
254	445	1301
255	446	1299
256	448	1297
257	450	1294
258	451	1291
259	452	1289
260	454	1288
261	456	1286
262	458	1284
263	459	1281
264	461	1280
265	463	1278
266	464	1276
267	466	1274
268	468	1272
269	470	1270
270	471	1268
271	473	1266
272	474	1264
273	476	1262
274	477	1259
275	479	1257
276	480	1254
277	482	1252
278	484	1251
279	486	1252
280	488	1250
281	491	1250
282	493	1249
283	494	1246
284	495	1243
285	497	1241
286	498	1239
287	500	1237
288	501	1234
289	503	1231
290	504	1228
291	505	1226
292	507	1223
293	508	1220
294	509	1218
295	511	1215
296	512	1213
297	514	1210
298	515	1208
299	516	1205
300	518	1203
301	519	1200
302	521	1198
303	522	1196
304	524	1194
305	525	1191
306	526	1189
307	528	1188
308	530	1186
309	531	1183
310	532	1180
311	534	1178
312	535	1175
313	536	1173
314	538	1170
315	539	1167
316	540	1164
317	542	1163
318	544	1161
319	545	1159
320	547	1157
321	548	1154
322	549	1152
323	551	1149
324	552	1147
325	553	1145
326	555	1142
327	556	1140
328	558	1138
329	559	1136
330	561	1134
331	562	1131
332	563	1129
333	565	1126
334	566	1124
335	567	1121
336	569	1119
337	570	1117
338	572	1116
339	574	1114
340	575	1112
341	576	1109
342	578	1107
343	579	1105
344	581	1103
345	582	1101
346	583	1098
347	585	1096
348	586	1094
349	588	1092
350	589	1090
351	591	1088
352	592	1086
353	594	1084
354	595	1081
355	596	1079
356	598	1077
357	599	1074
358	601	1073
359	602	1071
360	604	1069
361	605	1067
362	606	1064
363	608	1063
364	609	1061
365	611	1058
366	612	1056
367	614	1054
368	616	1053
369	617	1052
370	619	1050
371	621	1049
372	623	1048
373	625	1046
374	626	1044
375	627	1042
376	629	1039
377	631	1038
378	632	1036
379	634	1034
380	635	1032
381	636	1030
382	638	1028
383	640	1026
384	641	1024
385	643	1022
386	644	1021
387	646	1020
388	648	1018
389	650	1016
390	651	1015
391	653	1013
392	654	1010
393	656	1009
394	657	1007
395	659	1005
396	661	1004
397	662	1002
398	664	1000
399	665	998
400	667	996
401	668	994
402	670	992
403	671	990
404	673	988
405	674	987
406	676	985
407	678	984
408	679	982
409	681	980
410	682	977
411	684	976
412	685	974
413	686	972
414	688	970
415	689	968
416	691	966
417	692	964
418	694	962
419	695	960
420	697	959
421	698	957
422	700	955
423	701	953
424	703	951
425	705	950
426	706	948
427	708	946
428	709	944
429	711	942
430	713	941
431	714	939
432	716	937
433	718	936
434	720	935
435	721	933
436	723	931
437	724	929
438	726	927
439	727	925
440	728	923
441	730	921
442	731	919
443	733	917
444	734	916
445	736	914
446	737	912
447	739	911
448	740	909
449	742	907
450	743	905
451	744	903
452	746	901
453	747	899
454	750	898
455	752	897
456	754	896
457	756	895
458	758	893
459	759	891
460	760	889
461	762	887
462	764	886
463	765	884
464	767	882
465	768	880
466	770	878
467	771	877
468	773	875
469	774	873
470	775	871
471	778	870
472	780	869
473	781	867
474	783	866
475	785	864
476	786	862
477	788	860
478	789	859
479	791	857
480	792	855
481	794	854
482	795	851
483	797	850
484	798	848
485	801	847
486	802	845
487	804	843
488	805	842
489	807	840
490	809	839
491	810	837
492	812	835
493	814	833
494	815	832
495	817	830
496	818	828
497	820	827
498	822	825
499	824	824
500	826	822
501	827	820
502	829	819
503	830	817
504	832	815
505	833	813
506	835	812
507	837	810
508	838	809
509	840	807
510	841	805
511	843	803
512	844	802
513	846	800
514	848	798
515	849	796
516	851	795
517	853	793
518	854	792
519	856	790
520	857	788
521	859	786
522	860	785
523	862	783
524	863	781
525	865	779
526	867	778
527	869	776
528	870	775
529	872	773
530	873	771
531	875	769
532	876	768
533	877	766
534	879	764
535	881	763
536	883	761
537	885	760
538	887	758
539	889	757
540	890	755
541	892	754
542	894	752
543	896	751
544	899	750
545	901	750
546	904	748
547	906	747
548	908	746
549	911	745
550	913	744
551	914	742
552	917	741
553	918	739
554	920	738
555	922	736
556	924	735
557	926	733
558	927	731
559	929	730
560	930	728
561	932	726
562	933	724
563	935	722
564	936	721
565	939	720
566	940	718
567	942	716
568	943	714
569	945	713
570	947	711
571	949	710
572	950	708
573	953	707
574	955	706
575	957	705
576	959	703
577	962	702
578	964	701
579	966	699
580	968	698
581	970	697
582	972	695
583	974	694
584	977	693
585	979	691
586	981	690
587	984	689
588	986	688
589	988	686
590	990	685
591	992	684
592	995	683
593	998	682
594	1000	681
595	1002	679
596	1003	677
597	1005	676
598	1008	674
599	1010	673
600	1013	673
601	1015	671
602	1016	669
603	1017	667
604	1018	665
605	1020	663
606	1021	661
607	1022	659
608	1024	657
609	1025	655
610	1027	654
611	1028	652
612	1029	650
613	1030	647
614	1032	646
615	1033	644
616	1035	642
617	1036	640
618	1038	638
619	1039	637
620	1040	635
621	1042	633
622	1043	631
623	1044	629
624	1045	627
625	1047	625
626	1048	623
627	1049	621
628	1050	619
629	1051	617
630	1052	615
631	1054	613
632	1055	612
633	1057	610
634	1058	608
635	1059	606
636	1061	604
637	1062	602
638	1064	601
639	1065	599
640	1066	597
641	1067	595
642	1069	593
643	1071	592
644	1072	590
645	1073	588
646	1074	586
647	1075	584
648	1077	582
649	1078	580
650	1079	578
651	1080	576
652	1081	574
653	1083	573
654	1084	571
655	1085	569
656	1086	567
657	1087	565
658	1088	563
659	1089	561
660	1090	559
661	1091	557
662	1092	555
663	1093	553
664	1094	551
665	1095	549
666	1096	547
667	1097	545
668	1098	543
669	1100	541
670	1101	539
671	1102	537
672	1102	535
673	1103	533
674	1104	532
675	1106	530
676	1107	528
677	1108	526
678	1109	524
679	1110	522
680	1111	520
681	1112	518
682	1113	516
683	1114	515
684	1115	513
685	1116	511
686	1117	509
687	1119	507
688	1120	505
689	1121	503
690	1122	501
691	1123	500
692	1124	498
693	1125	496
694	1126	494
695	1128	492
696	1129	491
697	1131	489
698	1132	487
699	1132	485
700	1133	483
701	1135	481
702	1136	480
703	1137	478
704	1138	476
705	1138	474
706	1139	472
707	1141	470
708	1142	469
709	1143	467
